GENDER,AGE_GRP,INCOME,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,MVMN,WEEKEND_INCLUDED,SEASON,TOTAL_COST,TRAVEL_COMPANIONS_NUM,TRAVEL_DAY,TOTAL_AMT,TOTAL_LODGE,TOTAL_MVMN,lat_start,lon_start,lat_dest,lon_dest
여,40,4,전북,제주,자가용,1,가을,1222300.0,1.0,5.0,367100.0,538000.0,317200.0,35.8201963639272,127.108976712011,33.4889179032603,126.498229141199
여,40,4,제주,제주,대중교통 등,0,가을,197277.0,0.0,4.0,146570.0,50707.0,0.0,33.4889179032603,126.498229141199,33.4889179032603,126.498229141199
여,40,4,제주,제주,대중교통 등,1,가을,185433.037037037,0.259259259259259,3.59259259259259,79800.0,79033.037037037,26600.0,33.4889179032603,126.498229141199,33.4889179032603,126.498229141199
여,40,4,제주,제주,자가용,0,가을,66777.7777777778,0.666666666666667,2.33333333333333,41000.0,0.0,25777.7777777778,33.4889179032603,126.498229141199,33.4889179032603,126.498229141199
여,40,4,제주,제주,자가용,1,가을,215123.445255474,1.91240875912409,2.81751824817518,97425.1824817518,97670.2335766423,20028.0291970803,33.4889179032603,126.498229141199,33.4889179032603,126.498229141199
여,40,4,충남,경북,자가용,1,가을,563350.0,3.0,3.0,303050.0,113000.0,147300.0,36.6588292532864,126.672776193822,36.5759962255808,128.505799255401
여,40,4,충남,서울,자가용,1,가을,505754.0,1.0,3.0,301450.0,134304.0,70000.0,36.6588292532864,126.672776193822,37.566826004661,126.978652258309
여,40,4,충남,세종,자가용,1,가을,92000.0,3.0,2.0,52000.0,0.0,40000.0,36.6588292532864,126.672776193822,36.4800649113762,127.289195324698
여,40,4,충남,충남,자가용,1,가을,255577.777777778,3.0,2.77777777777778,132466.666666667,54444.4444444444,68666.6666666667,36.6588292532864,126.672776193822,36.6588292532864,126.672776193822
여,40,4,충남,충북,자가용,1,가을,137000.0,7.0,2.0,137000.0,0.0,0.0,36.6588292532864,126.672776193822,36.6353581959954,127.491457326501
여,40,4,충북,경기,자가용,1,가을,103300.0,0.0,2.0,42100.0,0.0,61200.0,36.6353581959954,127.491457326501,37.2749769872425,127.00892996953
여,40,4,충북,인천,자가용,0,여름,489090.0,0.0,4.0,379090.0,5000.0,105000.0,36.6353581959954,127.491457326501,37.4560044656444,126.705258070068
여,40,4,충북,충남,자가용,1,가을,128700.0,11.0,2.0,87000.0,0.0,41700.0,36.6353581959954,127.491457326501,36.6588292532864,126.672776193822
여,40,5,강원,제주,렌탈,1,가을,1112589.41176471,2.66386554621849,5.0,621310.924369748,278907.394957983,212371.092436975,37.8853257858209,127.729829010354,33.4889179032603,126.498229141199
여,40,5,강원,제주,자가용,1,가을,484936.0,2.0,3.0,402200.0,0.0,82736.0,37.8853257858209,127.729829010354,33.4889179032603,126.498229141199
여,40,5,강원,충남,자가용,1,여름,413020.0,3.0,4.0,232520.0,80000.0,100500.0,37.8853257858209,127.729829010354,36.6588292532864,126.672776193822
여,40,5,경기,강원,자가용,1,가을,432692.165289256,2.32231404958678,2.90082644628099,204898.347107438,125949.338842975,101844.479338843,37.2749769872425,127.00892996953,37.8853257858209,127.729829010354
여,40,5,경기,경기,대중교통 등,0,가을,12700.0,0.0,2.0,7200.0,0.0,5500.0,37.2749769872425,127.00892996953,37.2749769872425,127.00892996953
여,40,5,경기,경기,자가용,1,가을,218428.888888889,2.75,2.44444444444444,81416.6666666667,113128.888888889,23883.3333333333,37.2749769872425,127.00892996953,37.2749769872425,127.00892996953
여,40,5,경기,경기,자가용,1,여름,283000.0,5.0,3.0,98000.0,120000.0,65000.0,37.2749769872425,127.00892996953,37.2749769872425,127.00892996953
여,40,5,경기,경남,대중교통 등,0,가을,100900.0,0.0,2.0,14500.0,0.0,86400.0,37.2749769872425,127.00892996953,35.2377742104522,128.69189688916
여,40,5,경기,경북,대중교통 등,1,가을,532720.0,1.0,3.0,116000.0,139000.0,277720.0,37.2749769872425,127.00892996953,36.5759962255808,128.505799255401
여,40,5,경기,경북,자가용,1,가을,397715.492957746,4.43661971830986,3.0,264369.014084507,8563.38028169014,124783.098591549,37.2749769872425,127.00892996953,36.5759962255808,128.505799255401
여,40,5,경기,서울,대중교통 등,0,가을,19150.0,0.0,2.5,14400.0,0.0,4750.0,37.2749769872425,127.00892996953,37.566826004661,126.978652258309
여,40,5,경기,서울,대중교통 등,1,가을,295591.538461538,1.92307692307692,2.76923076923077,205123.076923077,55846.1538461538,34622.3076923077,37.2749769872425,127.00892996953,37.566826004661,126.978652258309
여,40,5,경기,서울,자가용,0,가을,48400.0,0.0,2.0,46000.0,0.0,2400.0,37.2749769872425,127.00892996953,37.566826004661,126.978652258309
여,40,5,경기,서울,자가용,1,가을,703120.0,4.0,4.0,100400.0,522720.0,80000.0,37.2749769872425,127.00892996953,37.566826004661,126.978652258309
여,40,5,경기,인천,대중교통 등,1,가을,116200.0,3.0,2.0,78200.0,0.0,38000.0,37.2749769872425,127.00892996953,37.4560044656444,126.705258070068
여,40,5,경기,인천,자가용,0,가을,569600.0,5.0,3.0,155550.0,363450.0,50600.0,37.2749769872425,127.00892996953,37.4560044656444,126.705258070068
여,40,5,경기,인천,자가용,1,가을,332342.857142857,2.71428571428571,3.0,233714.285714286,12000.0,86628.5714285714,37.2749769872425,127.00892996953,37.4560044656444,126.705258070068
여,40,5,경기,전남,자가용,1,가을,248800.0,0.0,4.0,204900.0,6500.0,37400.0,37.2749769872425,127.00892996953,34.8160821478848,126.462788333376
여,40,5,경기,제주,자가용,1,가을,1116424.4516129,2.7741935483871,6.32258064516129,325991.612903226,346414.258064516,444018.580645161,37.2749769872425,127.00892996953,33.4889179032603,126.498229141199
여,40,5,경기,충남,자가용,1,가을,180145.454545455,2.63636363636364,2.72727272727273,65509.0909090909,70909.0909090909,43727.2727272727,37.2749769872425,127.00892996953,36.6588292532864,126.672776193822
여,40,5,경기,충남,자가용,1,여름,365300.0,3.0,3.0,109300.0,213000.0,43000.0,37.2749769872425,127.00892996953,36.6588292532864,126.672776193822
여,40,5,경기,충북,자가용,1,가을,67136.6666666667,2.33333333333333,2.0,36647.7777777778,0.0,30488.8888888889,37.2749769872425,127.00892996953,36.6353581959954,127.491457326501
여,40,5,경남,경남,자가용,1,가을,693891.789473684,4.7578947368421,2.87368421052632,303533.894736842,340526.315789474,49831.5789473684,35.2377742104522,128.69189688916,35.2377742104522,128.69189688916
여,40,5,경남,경북,자가용,1,가을,107000.0,1.0,2.0,57500.0,0.0,49500.0,35.2377742104522,128.69189688916,36.5759962255808,128.505799255401
여,40,5,경남,울산,자가용,1,가을,4000.0,2.0,2.0,4000.0,0.0,0.0,35.2377742104522,128.69189688916,35.5395955247058,129.311603446508
여,40,5,경북,경북,자가용,1,가을,274860.0,0.0,2.0,42000.0,140060.0,92800.0,36.5759962255808,128.505799255401,36.5759962255808,128.505799255401
여,40,5,광주,경기,자가용,1,가을,525300.0,3.0,3.0,286300.0,108400.0,130600.0,37.4293941934866,127.255138719721,37.2749769872425,127.00892996953
여,40,5,광주,전남,자가용,1,가을,362227.614035088,2.0,2.94736842105263,221371.929824561,75789.4736842105,65066.2105263158,37.4293941934866,127.255138719721,34.8160821478848,126.462788333376
여,40,5,광주,제주,렌탈,1,가을,1621020.0,4.0,5.0,550420.0,188100.0,882500.0,37.4293941934866,127.255138719721,33.4889179032603,126.498229141199
여,40,5,대구,경남,자가용,1,가을,97500.0,1.0,3.0,45000.0,45000.0,7500.0,35.8713802646197,128.601805491072,35.2377742104522,128.69189688916
여,40,5,대구,경북,자가용,1,가을,106658.823529412,0.117647058823529,2.41176470588235,62882.3529411765,14411.7647058824,29364.7058823529,35.8713802646197,128.601805491072,36.5759962255808,128.505799255401
여,40,5,대구,경북,자가용,1,여름,1273239.0,3.0,3.0,165030.0,1100000.0,8209.0,35.8713802646197,128.601805491072,36.5759962255808,128.505799255401
여,40,5,대구,전남,자가용,1,가을,676400.0,3.0,4.0,299400.0,230000.0,147000.0,35.8713802646197,128.601805491072,34.8160821478848,126.462788333376
여,40,5,대구,제주,렌탈,1,가을,5708600.0,8.0,4.0,1497500.0,1970000.0,2241100.0,35.8713802646197,128.601805491072,33.4889179032603,126.498229141199
여,40,5,대구,제주,자가용,1,가을,255400.0,0.0,5.0,80700.0,0.0,174700.0,35.8713802646197,128.601805491072,33.4889179032603,126.498229141199
여,40,5,대전,전북,자가용,1,가을,228950.0,2.25,3.0,105387.5,108337.5,15225.0,36.3505388992836,127.38483484675,35.8201963639272,127.108976712011
여,40,5,대전,충북,자가용,1,가을,36000.0,1.0,2.0,16000.0,0.0,20000.0,36.3505388992836,127.38483484675,36.6353581959954,127.491457326501
여,40,5,부산,경남,자가용,1,가을,240570.967741935,1.90322580645161,2.48387096774194,73441.935483871,111290.322580645,55838.7096774194,35.1798200522868,129.075087492149,35.2377742104522,128.69189688916
여,40,5,부산,경북,자가용,0,가을,34300.0,0.0,2.0,22000.0,0.0,12300.0,35.1798200522868,129.075087492149,36.5759962255808,128.505799255401
여,40,5,부산,경북,자가용,1,가을,188000.0,3.54545454545455,2.0,144272.727272727,0.0,43727.2727272727,35.1798200522868,129.075087492149,36.5759962255808,128.505799255401
여,40,5,부산,경북,자가용,1,여름,410100.0,8.0,3.0,299200.0,32000.0,78900.0,35.1798200522868,129.075087492149,36.5759962255808,128.505799255401
여,40,5,부산,울산,대중교통 등,1,가을,110100.0,5.0,2.0,88500.0,0.0,21600.0,35.1798200522868,129.075087492149,35.5395955247058,129.311603446508
여,40,5,부산,울산,자가용,1,가을,18000.0,2.0,2.0,8000.0,0.0,10000.0,35.1798200522868,129.075087492149,35.5395955247058,129.311603446508
여,40,5,서울,강원,대중교통 등,1,가을,80000.0,1.0,2.0,0.0,0.0,80000.0,37.566826004661,126.978652258309,37.8853257858209,127.729829010354
여,40,5,서울,강원,자가용,1,가을,266595.609756098,3.0,2.86585365853659,142546.951219512,23120.7317073171,100927.926829268,37.566826004661,126.978652258309,37.8853257858209,127.729829010354
여,40,5,서울,강원,자가용,1,여름,35400.0,1.0,2.0,16000.0,0.0,19400.0,37.566826004661,126.978652258309,37.8853257858209,127.729829010354
